t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01746442,-64.50077,0.05304403,0.5961024,0.3176893,0.09885169
0.03492883,-63.92006,0.05338918,0.5960456,0.317728,0.097713
0.05239325,-63.34897,0.05397009,0.5959477,0.3177948,0.09658464
0.06985767,-62.80348,0.05477081,0.5958057,0.317891,0.09546639
0.08732208,-62.26174,0.05577006,0.5956193,0.3180164,0.09435773
0.1047865,-61.72853,0.05695885,0.5953895,0.3181702,0.09325865
0.1222509,-61.20345,0.05832709,0.5951158,0.3183524,0.092169
0.1397153,-60.68609,0.05986601,0.5947979,0.3185629,0.09108865
0.1942817,-59.11303,0.06568322,0.5935148,0.3194024,0.08777145
0.248848,-57.59868,0.07294022,0.5917763,0.3205175,0.08454019
0.3034144,-56.12827,0.0815566,0.5895583,0.3219098,0.08139238
0.3579808,-54.67697,0.09146692,0.5868349,0.3235809,0.07832598
0.4171741,-53.08696,0.1036695,0.5832701,0.3257145,0.0750906
0.4763675,-51.44757,0.117547,0.5789992,0.3282013,0.07195229
0.5355609,-49.70124,0.1333774,0.5739144,0.3310745,0.06891646
0.5947542,-47.75524,0.1515378,0.56787,0.3343818,0.06599156
0.6599876,-45.22775,0.1751688,0.5598059,0.3386384,0.06291633
0.7252211,-42.07709,0.2037775,0.5498086,0.3436747,0.06002377
0.7904545,-37.85903,0.2398369,0.537081,0.3497958,0.05736876
0.8556879,-31.86683,0.287833,0.5203899,0.3575586,0.0550462
0.8766211,-29.40568,0.3067768,0.5139506,0.3605269,0.05439291
0.8975543,-26.59253,0.327891,0.506933,0.3637918,0.05379484
0.9184876,-23.36804,0.3514854,0.4993387,0.3674025,0.05325991
0.9394208,-19.67001,0.3778852,0.4912063,0.3714166,0.05279743
0.960354,-15.43867,0.407395,0.4826115,0.3758987,0.0524179
0.9812873,-10.62001,0.4402538,0.473674,0.380921,0.05213328
1.002221,-5.204941,0.476506,0.4645231,0.3865536,0.05195582
1.023154,0.7534689,0.5159396,0.4552845,0.3928591,0.05189736
1.043905,7.077124,0.5576667,0.4461487,0.3998202,0.05196691
1.064657,13.54288,0.6010758,0.4371023,0.407504,0.05216983
1.085408,19.81433,0.644982,0.4281892,0.4158821,0.05250601
1.10616,25.54479,0.6880279,0.4194334,0.4248748,0.0529673
1.118513,28.56462,0.7126635,0.4142992,0.4304698,0.05329513
1.130866,31.22666,0.7362826,0.4092248,0.4362107,0.05365804
1.14322,33.50193,0.7587047,0.4042104,0.4420668,0.05405172
1.155573,35.39776,0.7797878,0.399256,0.4480052,0.05447119
1.167926,36.95046,0.7994373,0.3943615,0.4539921,0.05491121
1.18028,38.16771,0.8176402,0.3895263,0.4600051,0.0553683
1.192633,39.07318,0.8344129,0.3847499,0.4660237,0.05583915
1.204986,39.7332,0.8497809,0.3800317,0.4720239,0.05631971
1.216501,40.18822,0.8628864,0.3756861,0.4775822,0.05677322
1.228015,40.49338,0.8748944,0.37139,0.4831016,0.05723107
1.239529,40.6669,0.8858771,0.367143,0.4885752,0.05769201
1.251044,40.74562,0.8959011,0.3629445,0.4939948,0.05815439
1.263015,40.76159,0.9053804,0.3586305,0.4995648,0.05863519
1.274986,40.70844,0.9139827,0.3543677,0.5050681,0.05911571
1.286957,40.59365,0.9217846,0.3501557,0.5105025,0.05959542
1.298928,40.43607,0.928855,0.3459939,0.5158649,0.06007347
1.312693,40.22239,0.9361645,0.3412698,0.5219383,0.06062018
1.326457,39.96654,0.9426873,0.3366104,0.5279138,0.0611636
1.340222,39.66958,0.948507,0.3320148,0.5337915,0.06170336
1.353986,39.34467,0.9536981,0.3274822,0.5395698,0.06223882
1.370234,38.9426,0.9591078,0.3222117,0.5462609,0.06286444
1.386481,38.50386,0.9638345,0.3170264,0.5528148,0.06348316
1.402729,38.02307,0.9679647,0.3119248,0.5592333,0.06409472
1.418977,37.51782,0.9715732,0.3069058,0.5655154,0.06469824
1.436447,36.97037,0.9749454,0.3015997,0.5721167,0.06533714
1.453916,36.38753,0.9778622,0.2963858,0.5785646,0.06596611
1.471386,35.75706,0.9803856,0.2912625,0.5848627,0.06658508
1.488856,35.10711,0.982567,0.2862284,0.5910096,0.06719289
1.505682,34.48868,0.9843857,0.2814629,0.5967859,0.06776668
1.522507,33.84199,0.9859654,0.2767773,0.6024271,0.06832978
1.539333,33.15645,0.987337,0.2721702,0.6079366,0.0688822
1.556159,32.45655,0.9885255,0.2676406,0.6133136,0.06942299
1.57249,31.78541,0.9895241,0.2633169,0.6184055,0.06993592
1.588821,31.09301,0.9903904,0.2590638,0.6233774,0.07043767
1.605153,30.37127,0.9911404,0.2548801,0.6282324,0.07092826
1.621484,29.63877,0.9917867,0.2507649,0.6329703,0.071407
1.637878,28.91083,0.9923418,0.2467014,0.6376086,0.07187495
1.654273,28.16615,0.9928151,0.2427048,0.6421337,0.07233079
1.670667,27.39746,0.9932161,0.2387739,0.6465485,0.07277458
