t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.008094912,-64.86554,0.05297357,0.5961142,0.3176814,0.09946626
0.01618982,-64.66883,0.05311218,0.5960916,0.3176968,0.09893389
0.02428474,-64.47306,0.05335704,0.5960502,0.3177251,0.09840319
0.03237965,-64.28959,0.05369776,0.5959887,0.3177671,0.09787412
0.04047456,-64.10362,0.05411841,0.5959077,0.3178221,0.09734655
0.04856947,-63.91863,0.05461481,0.5958076,0.3178899,0.09682053
0.05666438,-63.73457,0.0551804,0.5956886,0.3179704,0.09629605
0.06475929,-63.55142,0.05580929,0.5955506,0.3180636,0.09577309
0.08879824,-63.01223,0.05799403,0.5950287,0.3184145,0.09422903
0.1128372,-62.4796,0.0605947,0.5943384,0.318876,0.09269822
0.1368761,-61.95266,0.06354852,0.5934784,0.3194474,0.09118052
0.1609151,-61.43005,0.06679111,0.5924475,0.3201277,0.08967581
0.1873154,-60.85942,0.07063122,0.5911164,0.3209998,0.08803811
0.2137157,-60.29114,0.07475972,0.5895736,0.3220026,0.08641587
0.240116,-59.72356,0.07917031,0.5878151,0.3231363,0.08480906
0.2665163,-59.15438,0.08384931,0.5858362,0.3244013,0.08321768
0.2994571,-58.43768,0.09005134,0.58305,0.3261649,0.08125374
0.3323978,-57.70984,0.0967142,0.579897,0.3281381,0.07931423
0.3653386,-56.96495,0.1039004,0.5763577,0.330327,0.07739965
0.3982793,-56.19408,0.1116517,0.5724095,0.332739,0.07551066
0.4358849,-55.26723,0.1212683,0.5673653,0.3357786,0.07338661
0.4734904,-54.27583,0.1319398,0.5616875,0.3391477,0.07129932
0.511096,-53.19503,0.143965,0.5552875,0.3428827,0.06925187
0.5487016,-51.98496,0.157673,0.5480503,0.3470312,0.06724822
0.5901086,-50.43042,0.175365,0.5388996,0.3521654,0.06509969
0.6315156,-48.56122,0.1967662,0.5282165,0.3580173,0.06302171
0.6729227,-46.19402,0.2236909,0.5154295,0.3648214,0.06103185
0.7143297,-43.00157,0.2591258,0.4995839,0.3729627,0.05915747
0.7335456,-41.10485,0.2796815,0.4908058,0.3773528,0.0583377
0.7527615,-38.83492,0.3037777,0.4808216,0.3822537,0.05755784
0.7719773,-36.07423,0.3323262,0.4693631,0.3877945,0.05682612
0.7911932,-32.66944,0.366527,0.4561261,0.3941534,0.05615358
0.8104091,-28.45175,0.4078187,0.4408397,0.4015635,0.05555451
0.829625,-23.12091,0.4577741,0.4234219,0.4103313,0.05504715
0.8488409,-16.43879,0.5172285,0.4041642,0.4208196,0.054654
0.8680568,-8.352965,0.5859721,0.3838112,0.4334428,0.05440219
0.8861023,0.3626188,0.6572685,0.3645823,0.4475897,0.05431959
0.9041478,9.470921,0.7292711,0.3457843,0.4640071,0.05439918
0.9221932,18.04444,0.7959987,0.3277375,0.4824526,0.05463872
0.9402387,25.09491,0.8528381,0.3105654,0.5024137,0.0550204
0.9507077,28.17531,0.8800769,0.3009983,0.5143935,0.05529395
0.9611767,30.52662,0.9030714,0.2917199,0.5264787,0.05559587
0.9716457,32.18799,0.9220914,0.2827241,0.5385427,0.05591901
0.9821147,33.23633,0.9375587,0.2740041,0.5504714,0.05625631
0.9925837,33.77473,0.9500072,0.2655526,0.5621692,0.05660128
1.003053,33.88634,0.9599375,0.2573616,0.5735793,0.05694962
1.013522,33.64465,0.9677957,0.2494238,0.5846589,0.05729763
1.023991,33.12071,0.973974,0.2417318,0.5953697,0.05764161
1.034508,32.37359,0.9788384,0.2342444,0.6057323,0.05797997
1.045026,31.44316,0.9826342,0.2269907,0.6156914,0.05830948
1.055544,30.36097,0.9855794,0.2199636,0.6252448,0.05862859
1.066062,29.15882,0.9878525,0.2131566,0.6343896,0.05893567
1.07813,27.66812,0.9898133,0.205609,0.6443801,0.05927132
1.090198,26.07352,0.9912327,0.198333,0.65385,0.05958834
1.102266,24.3904,0.9922295,0.1913195,0.6628154,0.05988589
1.114334,22.64369,0.9928894,0.1845599,0.6712878,0.06016274
1.126986,20.77019,0.9932838,0.1777377,0.6796537,0.06042957
1.139637,18.85374,0.993433,0.1711762,0.6875173,0.06067242
1.152289,16.90002,0.9933769,0.1648668,0.6949018,0.06089109
1.16494,14.92714,0.9931318,0.1588016,0.7018239,0.06108494
1.177655,12.94276,0.9927,0.1529448,0.7083312,0.0612542
1.190369,10.95277,0.9921003,0.1473193,0.7144126,0.06139819
1.203084,8.959216,0.9913374,0.1419183,0.7200894,0.06151707
1.215799,6.973262,0.9903985,0.1367356,0.7253778,0.06161068
1.228409,5.021571,0.9892755,0.1318056,0.7302543,0.06167843
1.241019,3.084037,0.9879601,0.1270792,0.7347837,0.06172166
1.25363,1.161155,0.9864407,0.1225513,0.7389828,0.0617407
1.26624,-0.7412,0.9846915,0.1182177,0.7428653,0.06173563
1.278145,-2.51347,0.982803,0.1143016,0.7462519,0.06170885
1.29005,-4.265058,0.9806711,0.1105522,0.7493809,0.06166111
1.301955,-5.996029,0.9782754,0.1069665,0.7522634,0.0615927
1.31386,-7.704331,0.9755873,0.1035425,0.7549091,0.06150384
1.327546,-9.637631,0.9720941,0.09980356,0.7576698,0.06137668
1.341232,-11.54056,0.9681358,0.09627258,0.7601444,0.0612233
1.354918,-13.41418,0.9636685,0.09294683,0.7623463,0.06104416
1.368604,-15.25728,0.9586339,0.0898246,0.7642871,0.06083964
1.386595,-17.63289,0.9510501,0.08602733,0.7664592,0.06053275
1.404586,-19.95898,0.9422582,0.08257458,0.7682234,0.06018365
1.422577,-22.2386,0.9321186,0.07946226,0.7696016,0.05979322
1.440568,-24.47443,0.9204705,0.07668673,0.7706131,0.05936226
1.460889,-26.95847,0.9053397,0.07394941,0.7713386,0.05882789
1.481211,-29.39647,0.8878065,0.07162976,0.7716405,0.0582436
1.501533,-31.78938,0.8675506,0.06972214,0.7715359,0.05760983
1.521855,-34.1612,0.844409,0.06821335,0.7710462,0.05692769
1.542176,-36.54325,0.8182987,0.06708798,0.7701916,0.05619834
1.562498,-38.92159,0.7886703,0.0663462,0.7689747,0.0554207
1.58282,-41.29532,0.7551019,0.06598539,0.7674001,0.05459405
1.603141,-43.69783,0.7176008,0.06599332,0.7654818,0.05371889
1.623321,-46.14159,0.6765896,0.06635582,0.7632494,0.05280221
1.6435,-48.61473,0.6313425,0.06708355,0.7606854,0.051836
1.663679,-51.09837,0.581826,0.06818454,0.7577927,0.05081924
1.683859,-53.58665,0.528717,0.06965904,0.754585,0.04975237
1.704518,-56.11694,0.4716872,0.07155757,0.750992,0.04860913
1.725177,-58.55978,0.4130011,0.0738657,0.7470994,0.04741463
1.745836,-60.85472,0.3542792,0.07658764,0.7429317,0.04617103
1.766495,-62.95227,0.297686,0.07971278,0.7385226,0.04488215
1.787401,-64.83196,0.2448697,0.08326444,0.7338544,0.04353675
1.808307,-66.44354,0.1979495,0.08717749,0.7290162,0.04215517
1.829213,-67.78714,0.1578169,0.09141098,0.7240457,0.0407429
1.850119,-68.88263,0.1247963,0.09591631,0.7189788,0.03930541
1.864236,-69.49875,0.1063605,0.09908595,0.7155194,0.03832309
1.878353,-70.02678,0.09074342,0.102342,0.7120385,0.03733284
1.892469,-70.47707,0.07768024,0.1056711,0.7085431,0.03633582
