t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.007611777,-64.87922,0.05298027,0.5961133,0.317682,0.09949806
0.01522355,-64.69979,0.05313732,0.5960875,0.3176995,0.0989973
0.02283533,-64.5211,0.0534099,0.5960401,0.3177321,0.09849797
0.03044711,-64.35384,0.05378516,0.5959694,0.3177802,0.09800004
0.03805889,-64.1841,0.05424444,0.5958764,0.3178433,0.0975034
0.04567066,-64.01515,0.05478112,0.5957617,0.317921,0.09700808
0.05328244,-63.84695,0.05538691,0.5956252,0.3180133,0.09651409
0.06089422,-63.67946,0.05605443,0.5954669,0.31812,0.09602141
0.08023544,-63.25673,0.05797999,0.5949671,0.318456,0.09477541
0.09957667,-62.83782,0.06019241,0.5943267,0.3188842,0.09353779
0.1189179,-62.42227,0.0626473,0.5935452,0.3194039,0.09230848
0.1382591,-62.00938,0.06529358,0.5926223,0.3200142,0.09108742
0.1596696,-61.55455,0.06840203,0.591435,0.3207945,0.08974529
0.18108,-61.10155,0.07169971,0.5900718,0.3216844,0.08841315
0.2024905,-60.64964,0.07518162,0.588531,0.3226835,0.08709099
0.223901,-60.19772,0.07883273,0.5868105,0.3237912,0.08577879
0.2506338,-59.63151,0.08360969,0.5844065,0.3253266,0.08415436
0.2773667,-59.06156,0.08866675,0.5817116,0.3270318,0.08254555
0.3040996,-58.48554,0.09403652,0.5787174,0.3289087,0.08095251
0.3308325,-57.89983,0.09972266,0.5754145,0.3309591,0.07937541
0.3612764,-57.21527,0.1065914,0.571263,0.3335093,0.07759915
0.3917203,-56.50729,0.1139976,0.5666715,0.3362972,0.0758446
0.4221641,-55.76835,0.1220585,0.5616086,0.3393348,0.07411266
0.452608,-54.98647,0.1308522,0.5560372,0.3426366,0.07240439
0.4856775,-54.06946,0.1413591,0.5493534,0.3465451,0.07057723
0.518747,-53.06427,0.15321,0.5419226,0.3508275,0.06878233
0.5518164,-51.93936,0.1668406,0.5336165,0.3555397,0.06702333
0.5848859,-50.64213,0.1827369,0.5242656,0.3607549,0.06530491
0.6201551,-48.97646,0.2031256,0.5128397,0.3670014,0.06352471
0.6554243,-46.91417,0.2284183,0.499506,0.3741285,0.06180947
0.6906935,-44.21189,0.2611666,0.4834703,0.3824753,0.06017827
0.7259627,-40.43109,0.3056777,0.4633966,0.3926137,0.05866147
0.7408365,-38.35744,0.3294736,0.4532671,0.3976286,0.0580665
