t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01994813,-62.39066,0.05395152,0.595949,0.3177915,0.0987097
0.03989627,-59.81255,0.05687732,0.5954215,0.3181415,0.09747134
0.0598444,-57.36226,0.06157806,0.5945069,0.3187361,0.09628338
0.07979253,-55.04926,0.06800867,0.5931558,0.3195836,0.09514335
0.09974066,-52.83816,0.07614284,0.5913239,0.3206872,0.09404855
0.1196888,-50.72372,0.0859336,0.5889817,0.3220461,0.09299709
0.1396369,-48.6925,0.09737006,0.5860916,0.3236612,0.0919872
0.1595851,-46.72728,0.1104414,0.5826195,0.3255328,0.09101734
0.1922355,-43.58352,0.1353003,0.5756082,0.329148,0.08951292
0.224886,-40.45323,0.1646583,0.5668064,0.333471,0.08811081
0.2575365,-37.18428,0.1989326,0.5560444,0.3385579,0.08681466
0.290187,-33.51407,0.2386265,0.5431699,0.3444921,0.0856321
0.3214162,-29.35518,0.2826172,0.5287324,0.3511083,0.08462293
0.3526455,-24.15569,0.3342088,0.5120633,0.358887,0.0837591
0.3838747,-17.47609,0.3949943,0.4933459,0.3681654,0.08307783
0.415104,-8.986396,0.4664945,0.4731964,0.379413,0.08263206
0.4348313,-2.61138,0.5174506,0.4601531,0.3877725,0.08249995
0.4545587,4.410338,0.5717932,0.4471274,0.3972269,0.0825009
0.474286,11.74905,0.6278935,0.4342805,0.4078138,0.08264405
0.4940134,18.89489,0.6835658,0.4217094,0.4194823,0.08293047
0.5062727,22.97149,0.7168113,0.4140563,0.4272161,0.08317717
0.5185321,26.61797,0.7483616,0.4065315,0.4352528,0.08347122
0.5307914,29.7462,0.777798,0.399137,0.4435288,0.0838071
0.5430507,32.32861,0.804818,0.391873,0.4519732,0.08417809
0.552844,34.01401,0.8245484,0.3861635,0.4587907,0.08449475
0.5626373,35.37255,0.8426283,0.3805361,0.4656407,0.08482629
0.5724306,36.42552,0.8590912,0.37499,0.4724971,0.08516992
0.5822238,37.21931,0.87399,0.3695242,0.4793326,0.0855226
0.5920171,37.80607,0.8874052,0.3641377,0.4861235,0.08588155
0.6018104,38.20312,0.8994498,0.3588296,0.4928574,0.08624528
0.6116037,38.43443,0.910235,0.3535988,0.4995229,0.08661236
0.621397,38.53868,0.9198654,0.3484442,0.5061071,0.08698107
0.6317243,38.54928,0.9288868,0.34309,0.5129511,0.08737007
0.6420517,38.46357,0.9368677,0.3378181,0.5196902,0.08775866
0.6523791,38.29373,0.943921,0.3326274,0.5263204,0.0881461
0.6627065,38.0614,0.9501481,0.3275167,0.5328368,0.08853144
0.6744822,37.74364,0.9563587,0.3217853,0.5401233,0.08896725
0.6862579,37.36691,0.9617409,0.3161545,0.5472575,0.08939893
0.6980336,36.9351,0.9664034,0.3106227,0.5542396,0.089826
0.7098093,36.46266,0.9704412,0.305188,0.5610679,0.09024773
0.7235391,35.87921,0.9744702,0.2989721,0.5688334,0.09073176
