t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01038125,-63.67814,0.05371244,0.5959906,0.3177651,0.09932172
0.0207625,-62.33687,0.05588941,0.5955917,0.3180341,0.09865733
0.03114375,-61.02894,0.05927465,0.5949108,0.318489,0.09800678
0.04152501,-59.76228,0.06375359,0.5939335,0.3191327,0.09736971
0.05190626,-58.52197,0.0692415,0.5926475,0.3199658,0.09674569
0.06228751,-57.30888,0.07566239,0.591042,0.3209889,0.09613446
0.07266876,-56.12037,0.08297761,0.5891029,0.322203,0.09553577
0.08305001,-54.95301,0.09115814,0.5868156,0.323609,0.09494936
0.09935978,-53.15006,0.1057054,0.582484,0.3262067,0.09405236
0.1156696,-51.37161,0.1223667,0.5771879,0.3292865,0.09318468
0.1319793,-49.59349,0.141234,0.5708468,0.3328605,0.09234621
0.1482891,-47.77663,0.1624013,0.5633727,0.3369448,0.09153718
0.1663534,-45.65485,0.188749,0.5536394,0.3420968,0.0906765
0.1844177,-43.34741,0.218757,0.5421505,0.347978,0.08985573
0.202482,-40.73768,0.2533257,0.5285921,0.3547041,0.08907959
0.2205463,-37.64697,0.2936134,0.5125709,0.3624415,0.08835497
0.2337094,-34.96302,0.3275141,0.4990723,0.3688564,0.08786517
0.2468725,-31.78035,0.3662422,0.4837779,0.3760804,0.08741383
0.2600356,-27.95106,0.4106901,0.4665691,0.3842949,0.08700832
0.2731988,-23.31998,0.4618112,0.4474922,0.3937402,0.08665835
0.2833849,-19.09284,0.5064418,0.4316075,0.4020749,0.08643308
0.2935711,-14.23404,0.5553477,0.41506,0.4114585,0.08625419
0.3037572,-8.751068,0.6078107,0.3981869,0.4220176,0.08612782
0.3139434,-2.757601,0.6625286,0.3813275,0.4338535,0.08605985
0.3241295,3.526489,0.71758,0.3647829,0.4470215,0.08605521
0.3343157,9.76505,0.7702135,0.3487249,0.4614378,0.08611458
0.3445018,15.59939,0.8180371,0.3332553,0.4769264,0.08623521
0.354688,20.6829,0.8594512,0.3184163,0.4932457,0.08641168
0.3633181,24.20052,0.8889157,0.3063365,0.5074925,0.08659851
0.3719483,26.96628,0.9132111,0.2947026,0.5219062,0.08681238
0.3805785,29.00084,0.9326835,0.2835039,0.5363057,0.08704683
0.3892086,30.35219,0.9479811,0.2727273,0.5505377,0.08729584
0.3989472,31.15865,0.9612361,0.2610562,0.5662333,0.08758715
0.4086858,31.34728,0.9710469,0.2498842,0.5814208,0.08788327
0.4184244,31.03886,0.9781535,0.2391912,0.5960136,0.08817904
0.4281629,30.31589,0.9832478,0.228958,0.6099459,0.0884697
0.4394331,29.06771,0.9874,0.2176655,0.6251881,0.08879426
0.4507033,27.48786,0.9901832,0.2069354,0.6394819,0.0891029
0.4619735,25.64863,0.9919704,0.1967408,0.6528403,0.08939281
0.4732436,23.6126,0.9930417,0.1870575,0.6652716,0.08966088
0.4841068,21.51689,0.993579,0.1781865,0.6763931,0.08989611
0.4949699,19.31842,0.9937552,0.1697482,0.6867146,0.09010801
0.505833,17.03904,0.9936443,0.1617235,0.6962762,0.09029594
0.5166961,14.71085,0.99327,0.1540955,0.7051091,0.09045885
0.5273464,12.40884,0.9926491,0.146987,0.7130915,0.09059351
0.5379967,10.09222,0.9918051,0.1402294,0.7204457,0.09070357
0.548647,7.769837,0.9907405,0.1338091,0.7272082,0.09078913
0.5592973,5.457603,0.9894256,0.1277143,0.7334088,0.09085002
0.5698674,3.18684,0.9878362,0.121977,0.7390348,0.09088601
0.5804374,0.9405307,0.9859566,0.1165391,0.7441682,0.09089813
0.5910074,-1.277828,0.9837616,0.111391,0.7488379,0.09088677
0.6015775,-3.46104,0.9812026,0.1065249,0.7530684,0.09085216
0.6113555,-5.44408,0.9784656,0.1022687,0.7566108,0.09079969
0.6211335,-7.392422,0.9753478,0.0982419,0.7598169,0.09072801
0.6309115,-9.305108,0.971813,0.09443954,0.7627041,0.0906375
0.6406895,-11.18029,0.9678153,0.09085729,0.7652882,0.09052848
0.6540984,-13.68824,0.96149,0.08629567,0.7683657,0.09034951
0.6675073,-16.12379,0.954096,0.08212986,0.7709381,0.09013742
0.6809163,-18.48768,0.9455167,0.07834957,0.7730395,0.08989325
0.6943252,-20.77973,0.9356117,0.07494568,0.7746997,0.0896179
0.714428,-24.09871,0.9181472,0.07052059,0.7764287,0.08914924
0.7345309,-27.25968,0.8968972,0.06688493,0.7773099,0.0886155
0.7546338,-30.25431,0.8712702,0.06400567,0.7774101,0.08801891
0.7747366,-33.1272,0.8412892,0.06182712,0.7768079,0.08736327
0.7926385,-35.62596,0.811143,0.0604279,0.7757399,0.08673282
0.8105404,-38.03648,0.7770674,0.0595245,0.7741882,0.08605845
0.8284422,-40.3496,0.7387745,0.05909682,0.772176,0.08534086
0.8463441,-42.59885,0.6968406,0.05910788,0.769744,0.08458238
0.8630731,-44.66639,0.655006,0.05948547,0.7671249,0.08383857
0.8798021,-46.66725,0.610486,0.06021616,0.7641786,0.08306078
0.896531,-48.58493,0.5636673,0.06128987,0.7609231,0.08224988
0.91326,-50.41452,0.5155091,0.06268776,0.7573862,0.08140769
0.9304753,-52.19439,0.4657364,0.06444482,0.7534831,0.08051046
0.9476906,-53.8364,0.4165747,0.06651377,0.7493367,0.07958389
0.9649059,-55.31802,0.3690621,0.06887464,0.7449777,0.07863039
0.9821212,-56.62692,0.3243928,0.07149885,0.7404421,0.07765296
1.000355,-57.81801,0.2813436,0.07452917,0.7354864,0.07659525
1.018589,-58.80629,0.2431848,0.07778083,0.7304123,0.07551788
1.036823,-59.60036,0.2101935,0.08121315,0.725257,0.0744244
1.055056,-60.21738,0.182411,0.08478373,0.7200561,0.07331824
1.075297,-60.72137,0.1572963,0.08885907,0.714268,0.07207937
1.095537,-61.06292,0.1374913,0.09300764,0.7084962,0.07083221
1.115778,-61.26978,0.1222617,0.09718883,0.7027685,0.0695797
1.136019,-61.36593,0.1108129,0.1013664,0.6971098,0.06832441
1.155473,-61.37375,0.1026358,0.1053501,0.6917544,0.06711723
1.174927,-61.31505,0.09672361,0.1092828,0.686493,0.0659108
1.194381,-61.20267,0.09265286,0.1131484,0.6813356,0.06470625
1.213836,-61.04675,0.0900228,0.1169329,0.6762907,0.06350456
1.232423,-60.86472,0.08855556,0.1204631,0.671582,0.0623598
1.251011,-60.65659,0.08793776,0.1239025,0.6669862,0.06121888
