t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01269068,-64.21908,0.05325375,0.5960677,0.3177131,0.09916739
0.02538136,-63.44683,0.05417692,0.5959058,0.317823,0.09834478
0.03807203,-62.68142,0.0556392,0.5956323,0.3180075,0.09753207
0.05076271,-61.93772,0.0575754,0.5952464,0.3182662,0.09672904
0.06345339,-61.20876,0.05992985,0.5947469,0.3185985,0.09593543
0.07614407,-60.48869,0.06267634,0.5941325,0.3190043,0.09515108
0.08883475,-59.7895,0.06578977,0.593402,0.3194833,0.09437585
0.1015254,-59.10053,0.06924211,0.5925523,0.3200355,0.09360955
0.1185848,-58.18245,0.07437851,0.5912151,0.3208942,0.09259332
0.1356442,-57.285,0.08007376,0.589654,0.3218847,0.09159273
0.1527036,-56.39675,0.08631957,0.5878643,0.3230068,0.09060752
0.1697629,-55.5042,0.09310442,0.5858306,0.3242636,0.08963765
0.1877964,-54.55476,0.1008561,0.5833963,0.3257429,0.08862915
0.2058299,-53.63155,0.1092196,0.5806712,0.3273752,0.08763766
0.2238633,-52.7365,0.1181962,0.5776514,0.329159,0.08666292
0.2418968,-51.82815,0.1277621,0.5743191,0.3310958,0.08570466
0.261615,-50.7889,0.1389954,0.5702728,0.3334012,0.08467639
0.2813332,-49.69811,0.1510976,0.5658017,0.3359068,0.08366924
0.3010515,-48.52777,0.1641324,0.5608786,0.3386222,0.08268406
0.3207697,-47.26832,0.1783782,0.5554045,0.3415793,0.0817229
0.3395007,-45.98941,0.1933191,0.5495987,0.3446446,0.08083434
0.3582317,-44.54658,0.2097781,0.543152,0.3479797,0.07997144
0.3769627,-42.88168,0.2280736,0.5359562,0.3516249,0.07913722
0.3956938,-41.02063,0.2486878,0.5278569,0.3556394,0.07833596
0.4149968,-38.81611,0.2728889,0.518395,0.3602334,0.0775497
0.4342999,-36.18108,0.3007714,0.5075745,0.3653827,0.07680998
0.453603,-33.03774,0.3332763,0.4951504,0.3712232,0.07612617
0.472906,-29.20098,0.3714544,0.4809286,0.3779267,0.07550981
0.4944835,-23.8371,0.4224176,0.462762,0.3867194,0.07491939
0.5160609,-16.93566,0.4839819,0.4425059,0.3973237,0.07446197
0.5376384,-8.318415,0.5561353,0.4208749,0.4101992,0.07417041
0.5592159,1.709412,0.6364218,0.3988899,0.4257647,0.07407921
0.5719364,7.97333,0.6854188,0.3861902,0.4363112,0.07413123
0.5846569,14.12821,0.733314,0.3737777,0.447815,0.07426255
0.5973774,19.83487,0.7783427,0.3617034,0.4601625,0.07446979
0.6100979,24.79066,0.8190357,0.34999,0.4731774,0.07474521
0.6199796,27.98688,0.846971,0.341141,0.4836035,0.0749988
0.6298613,30.56666,0.871535,0.3325098,0.4941948,0.07528089
0.639743,32.5319,0.8927703,0.3240933,0.5048574,0.07558588
0.6496247,33.95717,0.9108408,0.3158879,0.5154974,0.07590768
0.6595064,34.93125,0.9260332,0.3078893,0.5260305,0.07624043
0.6693882,35.50913,0.9387173,0.3000925,0.5364124,0.07658088
0.6792699,35.75518,0.9492407,0.2924929,0.5466055,0.07692601
0.6891516,35.715,0.9579074,0.2850859,0.5565676,0.07727218
0.6983235,35.45648,0.9645449,0.2783795,0.5655777,0.07759154
0.7074955,35.03518,0.9700543,0.2718314,0.5743512,0.07790775
0.7166674,34.49134,0.9746151,0.265438,0.5828805,0.07821957
0.7258394,33.85181,0.9783867,0.2591959,0.5911603,0.07852592
0.7377658,32.91266,0.982332,0.2512998,0.6015488,0.07891449
0.7496921,31.8593,0.9854018,0.2436461,0.6115168,0.07929116
0.7616185,30.69645,0.9877795,0.2362276,0.6210725,0.07965503
0.7735449,29.45301,0.9896094,0.2290376,0.6302172,0.08000457
0.7857463,28.14361,0.9910288,0.2219114,0.6391492,0.08034574
0.7979477,26.74084,0.9920894,0.2150102,0.6476716,0.08067032
0.8101491,25.22793,0.9928656,0.2083273,0.6557989,0.08097793
0.8223505,23.70406,0.9934017,0.2018566,0.6635344,0.08126716
0.8325612,22.43905,0.9936918,0.1966004,0.669713,0.08149447
0.8427719,21.15081,0.993864,0.191485,0.675637,0.08170875
0.8529826,19.87284,0.9939323,0.1865068,0.6813142,0.08190985
0.8631933,18.58131,0.9939088,0.1816627,0.686753,0.08209775
0.8768685,16.8045,0.9937416,0.1753797,0.693673,0.08232817
0.8905438,15.01207,0.993436,0.1693242,0.7001927,0.08253421
0.9042191,13.20791,0.9930057,0.1634892,0.7063323,0.08271612
0.9178944,11.40002,0.9924436,0.1578687,0.7121038,0.08287338
0.930122,9.781236,0.9918268,0.1530199,0.7169642,0.08299297
0.9423496,8.1729,0.9910992,0.1483336,0.7215528,0.08309278
0.9545773,6.58683,0.99025,0.1438061,0.7258782,0.08317265
0.9668049,5.014143,0.9892824,0.1394334,0.7299542,0.08323313
0.9741971,4.064453,0.9886402,0.1368635,0.7323029,0.08326051
0.9815894,3.125702,0.9879509,0.134348,0.7345665,0.08328092
0.9889816,2.19832,0.987214,0.1318863,0.7367473,0.08329445
0.9963739,1.269264,0.986426,0.1294778,0.7388473,0.08330113
1.001613,0.6132523,0.9858339,0.1278026,0.7402873,0.08330168
1.006853,-0.04223111,0.9852137,0.1261535,0.7416882,0.0832988
1.012092,-0.7078069,0.9845644,0.1245304,0.7430503,0.08329248
1.017332,-1.375113,0.9838835,0.1229332,0.7443739,0.08328267
1.022571,-2.033152,0.9831701,0.1213616,0.7456597,0.0832694
1.027811,-2.68332,0.9824236,0.1198155,0.7469083,0.0832527
1.03305,-3.325928,0.9816426,0.1182947,0.7481203,0.08323258
1.03829,-3.967045,0.9808268,0.1167989,0.7492966,0.08320909
1.042911,-4.540314,0.9800777,0.1155003,0.7503051,0.08318559
1.047532,-5.111377,0.9792987,0.1142209,0.7512863,0.08315946
1.052154,-5.671745,0.978489,0.1129608,0.7522407,0.08313069
1.056775,-6.227648,0.9776484,0.1117198,0.7531687,0.08309934
1.061747,-6.832089,0.9767092,0.1104057,0.7541384,0.08306275
1.066718,-7.430513,0.9757316,0.1091136,0.7550784,0.08302318
1.07169,-8.01745,0.9747146,0.1078431,0.7559892,0.08298065
1.076661,-8.602604,0.9736578,0.1065942,0.7568715,0.08293519
1.082743,-9.325631,0.9723094,0.1050956,0.7579127,0.08287565
1.088824,-10.03921,0.9708959,0.103629,0.7589122,0.08281175
1.094905,-10.7396,0.9694149,0.1021941,0.759871,0.08274351
1.100987,-11.43588,0.9678657,0.1007907,0.76079,0.08267103
1.107686,-12.20258,0.9660764,0.09928117,0.7617571,0.08258628
1.114385,-12.96413,0.9641977,0.09780937,0.7626776,0.08249643
1.121084,-13.72299,0.9622279,0.09637498,0.7635527,0.08240154
1.127783,-14.47563,0.9601605,0.09497802,0.7643829,0.0823016
1.135548,-15.33827,0.9576333,0.09340545,0.7652897,0.08217942
1.143314,-16.19468,0.9549651,0.09188252,0.7661387,0.08205059
1.15108,-17.04546,0.9521512,0.09040882,0.7669313,0.08191517
1.158845,-17.89191,0.9491825,0.08898428,0.7676683,0.08177318
1.16846,-18.93356,0.9452838,0.08728817,0.7685054,0.08158834
1.178075,-19.97321,0.9411189,0.08566686,0.7692603,0.08139349
1.18769,-21.01088,0.9366649,0.08412044,0.7699341,0.08118859
1.197305,-22.03275,0.9319137,0.08264818,0.7705291,0.0809738
1.211703,-23.53402,0.924283,0.08057731,0.7712824,0.08063464
1.226101,-25.02236,0.9159103,0.07866886,0.7718696,0.08027387
1.2405,-26.49095,0.9066738,0.07692452,0.7722908,0.07989106
1.254898,-27.92972,0.8965947,0.07533898,0.772557,0.07948725
1.26781,-29.20305,0.886859,0.07404721,0.7726728,0.0791081
1.280723,-30.47363,0.8763861,0.07287826,0.7726721,0.07871257
1.293635,-31.73546,0.8651395,0.0718302,0.7725579,0.07830082
1.306547,-32.98042,0.8530798,0.07090133,0.7723328,0.07787296
1.322096,-34.47369,0.8374505,0.06993755,0.7719188,0.0773366
1.337644,-35.97854,0.8205028,0.06914161,0.7713503,0.07677699
1.353193,-37.48393,0.8021272,0.0685123,0.7706288,0.0761939
1.368741,-38.97381,0.7822994,0.06804534,0.7697588,0.07558759
1.391464,-41.12163,0.7507944,0.06764213,0.7682331,0.07466084
1.414186,-43.3118,0.7159668,0.06756979,0.7664064,0.07368482
1.436909,-45.57157,0.6775261,0.06783067,0.7642782,0.0726582
1.459632,-47.84578,0.6354966,0.06842372,0.7618527,0.07158036
1.486464,-50.49409,0.5814561,0.06955056,0.7586163,0.07024145
