t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.02524873,-61.8415,0.05383394,0.5959703,0.3177787,0.09837416
0.05049746,-58.8656,0.05645994,0.5954993,0.3180892,0.09682623
0.07574619,-56.06006,0.06071832,0.5946753,0.3186138,0.09535145
0.1009949,-53.45892,0.06655072,0.5934618,0.3193558,0.0939452
0.1318569,-50.49719,0.07576785,0.5913974,0.320558,0.09231284
0.1627189,-47.70005,0.08726468,0.5886376,0.3220835,0.09076971
0.1935809,-45.08558,0.1010205,0.5851315,0.3239302,0.08931046
0.2244429,-42.62581,0.1169859,0.5808437,0.326093,0.08793001
0.2661465,-39.37942,0.1420618,0.5737599,0.3295176,0.08618462
0.3078501,-36.12927,0.1711494,0.5651548,0.3335235,0.08457414
0.3495536,-32.74425,0.2044112,0.5550006,0.338142,0.08310141
0.3912572,-28.9305,0.2423679,0.5432727,0.3434511,0.08177901
0.4152828,-26.38098,0.2667033,0.5357935,0.3468725,0.08109425
0.4393084,-23.52162,0.293153,0.5277898,0.3506059,0.0804744
0.463334,-20.29078,0.3219901,0.5192931,0.3546977,0.07992808
0.4873596,-16.56827,0.3534818,0.5103661,0.3592025,0.07946538
0.5113852,-12.25909,0.3879332,0.5010926,0.3641884,0.07909917
0.5354107,-7.374578,0.425527,0.4915835,0.3697281,0.0788435
0.5594363,-1.930451,0.4661765,0.4819554,0.375885,0.0787115
0.5834619,4.030453,0.5095749,0.4723127,0.382718,0.07871646
0.6010615,8.673859,0.5427799,0.4652902,0.3881799,0.07881401
0.6186611,13.36137,0.5767298,0.4583279,0.3940318,0.07899384
0.6362607,17.90505,0.6109184,0.4514418,0.4002598,0.07925546
0.6538603,22.19012,0.6447653,0.4446423,0.4068315,0.07959508
0.6676631,25.31375,0.6706774,0.4393738,0.4121952,0.07991177
0.6814659,28.14301,0.6957868,0.4341633,0.4177208,0.08026963
0.6952686,30.61763,0.7198908,0.4290115,0.4233832,0.08066482
0.7090714,32.70601,0.7427923,0.4239189,0.4291481,0.08109163
0.7228741,34.45082,0.7643313,0.4188853,0.4349783,0.08154352
0.7366769,35.85159,0.7844668,0.4139106,0.4408533,0.08201708
0.7504796,36.91328,0.8031863,0.4089943,0.4467531,0.08250878
0.7642824,37.74721,0.8204798,0.404136,0.4526515,0.08301372
0.7756917,38.31793,0.8337109,0.4001635,0.457509,0.08343773
0.7871011,38.74096,0.8460366,0.3962298,0.462348,0.08386746
0.7985105,39.03883,0.8575036,0.3923348,0.4671647,0.08430211
0.8099198,39.25095,0.8681442,0.3884779,0.4719496,0.08473973
0.8200639,39.40674,0.8769415,0.3850807,0.476171,0.08513001
0.8302079,39.5073,0.8851583,0.3817131,0.4803623,0.08552153
0.840352,39.53846,0.8928279,0.378375,0.4845217,0.08591386
0.850496,39.53701,0.8999805,0.3750662,0.4886463,0.08630637
0.8616884,39.51723,0.9073088,0.3714489,0.4931545,0.08673903
0.8728808,39.46148,0.9140887,0.3678666,0.4976183,0.08717124
0.8840732,39.38666,0.9203599,0.3643189,0.5020372,0.08760281
0.8952656,39.29312,0.9261586,0.3608055,0.5064102,0.08803339
0.9059133,39.1789,0.9312663,0.3574946,0.5105259,0.0884416
0.9165609,39.03727,0.936005,0.3542142,0.5145989,0.08884843
0.9272085,38.87378,0.9404019,0.3509639,0.5186296,0.08925389
0.9378562,38.70625,0.94448,0.3477436,0.5226168,0.08965759
0.9485038,38.52018,0.9482622,0.3445529,0.5265605,0.09005942
0.9591515,38.32175,0.9517694,0.3413915,0.5304602,0.09045913
0.9697991,38.13538,0.95502,0.3382593,0.5343148,0.09085635
0.9804467,37.94082,0.9580348,0.3351559,0.5381262,0.0912514
0.9912921,37.73315,0.9608821,0.3320242,0.5419654,0.09165174
1.002137,37.50037,0.9635191,0.328922,0.5457599,0.09204962
1.012983,37.21917,0.965961,0.3258488,0.5495097,0.09244489
1.023828,36.93732,0.9682212,0.3228045,0.5532138,0.09283712
1.036098,36.67287,0.9705759,0.3193947,0.557349,0.09327699
1.048368,36.38724,0.9727354,0.316021,0.561429,0.09371345
1.060638,36.05132,0.9747167,0.3126832,0.565455,0.0941466
1.072909,35.70626,0.9765325,0.3093808,0.5694247,0.09457566
