t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.01774058,-62.6501,0.05432066,0.5958849,0.3178348,0.09885013
0.03548115,-60.31623,0.05820229,0.595161,0.3183166,0.09774198
0.05322173,-58.08434,0.06429194,0.5939101,0.3191339,0.09667453
0.07096231,-55.9625,0.07248945,0.5920746,0.3202962,0.09564605
0.08870288,-53.91784,0.08273873,0.5896021,0.3218072,0.09465458
0.1064435,-51.94426,0.09494785,0.5864535,0.3236673,0.09369891
0.124184,-50.02636,0.1091067,0.5825776,0.3258797,0.09277795
0.1419246,-48.14183,0.1252115,0.5779232,0.3284477,0.09189086
0.1663055,-45.54546,0.150526,0.5701648,0.3325657,0.09072607
0.1906864,-42.87332,0.1798513,0.5606525,0.337403,0.08962542
0.2150673,-39.99967,0.2137813,0.5491428,0.3430359,0.08859309
0.2394482,-36.71551,0.2530561,0.53536,0.3495757,0.08763598
0.2638314,-32.78924,0.2990422,0.5189852,0.3572225,0.08676706
0.2882146,-27.79909,0.3538266,0.4995421,0.3662753,0.086006
0.3125978,-21.26511,0.4194253,0.4770211,0.3771793,0.0853824
0.336981,-12.81124,0.4979514,0.4521207,0.3905899,0.08494028
0.3569125,-4.313377,0.5723802,0.4309341,0.4039334,0.08475017
0.3768439,5.270467,0.6516514,0.409855,0.4197326,0.08474263
0.3967754,15.0596,0.7297578,0.3894163,0.4379825,0.08492931
0.4167069,23.71317,0.8004396,0.3698675,0.458301,0.08530087
0.4256312,26.84431,0.8280807,0.3614132,0.4678776,0.08551913
0.4345554,29.47539,0.8528685,0.3531461,0.4776321,0.08576307
0.4434797,31.5968,0.8747576,0.3450642,0.4874881,0.08602834
0.452404,33.23574,0.8938218,0.3371649,0.4973711,0.08631041
0.4613283,34.44727,0.9102418,0.329445,0.5072124,0.08660479
0.4702526,35.27622,0.9242683,0.321901,0.5169643,0.08690825
0.4791768,35.77158,0.9361649,0.3145292,0.5265868,0.0872179
0.4881011,35.99506,0.9461902,0.3073262,0.5360423,0.08753074
0.4972796,36.00343,0.954822,0.3000902,0.5455613,0.08785311
0.5064581,35.81828,0.9620094,0.2930249,0.5548581,0.08817466
0.5156366,35.47054,0.967977,0.2861265,0.5639209,0.08849394
0.524815,34.99493,0.9729212,0.2793911,0.5727379,0.08880943
0.5350494,34.34993,0.9774368,0.2720686,0.5822695,0.08915513
0.5452837,33.59685,0.9810866,0.2649392,0.5914868,0.08949366
0.5555181,32.75002,0.9840291,0.2579979,0.6003914,0.08982416
0.5657524,31.82977,0.986397,0.25124,0.608983,0.09014562
0.5775218,30.70525,0.988549,0.243689,0.6184775,0.09050286
0.5892913,29.50937,0.9902095,0.2363675,0.6275721,0.09084642
0.6010607,28.24636,0.9914782,0.2292686,0.6362781,0.0911758
0.6128302,26.93477,0.9924323,0.2223861,0.6446022,0.09149004
0.6252297,25.52145,0.9931612,0.2153624,0.6529662,0.09180371
0.6376293,24.06668,0.9936621,0.2085649,0.6609325,0.09209959
0.6500288,22.56992,0.9939771,0.2019868,0.6685166,0.09237749
0.6624283,21.04799,0.994133,0.1956216,0.6757283,0.0926367
0.674908,19.50825,0.9941471,0.1894242,0.6826201,0.09287803
0.6873876,17.95021,0.9940401,0.1834302,0.6891625,0.09310002
0.6998673,16.37269,0.9938259,0.1776335,0.6953704,0.09330271
0.7123469,14.78826,0.993507,0.1720287,0.701254,0.09348569
0.7248825,13.20267,0.9930797,0.166587,0.7068474,0.09364927
0.7374181,11.61479,0.9925535,0.1613283,0.7121391,0.09379296
0.7499537,10.02352,0.9919302,0.1562478,0.7171425,0.09391692
0.7624893,8.437624,0.9912021,0.1513408,0.7218673,0.09402098
0.7749814,6.871349,0.9903624,0.1466195,0.7263074,0.09410475
0.7874735,5.313265,0.9894096,0.142062,0.7304927,0.09416901
0.7999656,3.762431,0.988339,0.1376644,0.7344341,0.09421399
0.8124578,2.224414,0.9871379,0.1334231,0.7381402,0.0942397
0.824524,0.7561249,0.9858402,0.129472,0.741504,0.09424625
0.8365902,-0.6987659,0.9844032,0.1256606,0.7446651,0.09423517
0.8486565,-2.140834,0.9828183,0.121986,0.7476315,0.09420669
0.8607227,-3.567265,0.9810711,0.1184459,0.7504099,0.09416092
0.8718319,-4.864407,0.9793055,0.1153037,0.7528072,0.0941036
0.8829412,-6.147716,0.9773822,0.1122716,0.7550564,0.09403195
0.8940504,-7.417435,0.9752915,0.1093481,0.7571625,0.09394616
0.9051597,-8.672549,0.9730204,0.1065315,0.7591302,0.09384636
0.9198937,-10.31239,0.9697051,0.102959,0.7615335,0.09369259
0.9346278,-11.92659,0.9660242,0.09956885,0.7637116,0.09351488
0.9493619,-13.51664,0.9619511,0.09635792,0.7656746,0.09331369
0.964096,-15.08018,0.957447,0.09332376,0.7674306,0.09308931
0.9820625,-16.94823,0.9513136,0.08985981,0.7693035,0.09278479
1.000029,-18.77844,0.9444293,0.08664972,0.7708961,0.0924471
1.017996,-20.57272,0.9367339,0.0836884,0.7722225,0.09207701
1.035962,-22.3301,0.9281524,0.08097147,0.7732945,0.09167509
1.061122,-24.74175,0.9145743,0.07756537,0.7743931,0.09106042
1.086281,-27.08147,0.8989003,0.07461576,0.7750433,0.09038609
1.111441,-29.33955,0.8808628,0.07211102,0.7752673,0.08965309
1.136601,-31.549,0.8604283,0.07002803,0.7750962,0.08886388
