t,V,m,h,n,phi
0,-65,0.05293249,0.5961208,0.3176769,0.1
0.02861237,-62.54361,0.05373619,0.595984,0.3177671,0.09814711
0.05722473,-60.0729,0.05605639,0.5955736,0.3180404,0.09636515
0.0858371,-57.73001,0.05980417,0.5948696,0.3185033,0.09465251
0.1144495,-55.53239,0.06495385,0.5938256,0.3191651,0.0930057
0.1430618,-53.43369,0.07148059,0.5924047,0.3200292,0.09142065
0.1716742,-51.43117,0.07933535,0.590595,0.3210919,0.08989469
0.2002866,-49.51195,0.08850533,0.5883699,0.3223532,0.08842526
0.2288989,-47.66017,0.0989799,0.5857048,0.3238131,0.08701018
0.2778201,-44.58069,0.1198563,0.58007,0.3267665,0.08471103
0.3267413,-41.53587,0.1446458,0.5729508,0.3303146,0.08256191
0.3756625,-38.37391,0.1737293,0.5641834,0.3345037,0.08056727
0.4245838,-34.82889,0.2075977,0.553601,0.3394035,0.07873749
0.4714399,-30.7899,0.2454669,0.5415847,0.3448918,0.07716244
0.518296,-25.69511,0.2903545,0.5274543,0.3513707,0.0757998
0.5651522,-19.03214,0.3442329,0.5112385,0.3591575,0.07470818
0.6120083,-10.32527,0.4094908,0.4934025,0.3687198,0.0739746
0.6300991,-6.329078,0.4381991,0.4862562,0.3730075,0.07381
0.6481898,-1.977364,0.4688056,0.4790485,0.3776736,0.07372108
0.6662806,2.686423,0.5011545,0.4718279,0.3827443,0.07371378
0.6843714,7.579023,0.53496,0.464634,0.3882375,0.07379295
0.7024621,12.58,0.5698011,0.4574969,0.3941598,0.07396179
0.7205529,17.51389,0.6051089,0.4504362,0.4005006,0.07422072
0.7386436,22.19611,0.6402562,0.4434644,0.4072318,0.07456704
0.7567344,26.45693,0.6745873,0.4365891,0.4143061,0.0749945
0.7690384,29.04176,0.697139,0.4319697,0.4192815,0.07532682
0.7813424,31.33267,0.7188602,0.4273969,0.4243657,0.07568911
0.7936465,33.31102,0.7396226,0.422871,0.4295376,0.07607789
0.8059505,34.98582,0.7593203,0.4183918,0.4347736,0.07648917
0.8182545,36.38663,0.7778777,0.4139594,0.4400501,0.07691874
0.8305585,37.51735,0.7952765,0.4095733,0.4453514,0.07736386
0.8428626,38.39468,0.8115182,0.4052332,0.4506625,0.07782183
0.8551666,39.06909,0.8266097,0.4009389,0.4559662,0.07828936
0.8671531,39.58265,0.840231,0.3967991,0.4611115,0.0787512
0.8791395,39.95611,0.852843,0.3927018,0.4662303,0.07921832
0.891126,40.20363,0.8645005,0.3886468,0.4713169,0.07968953
0.9031125,40.36142,0.8752533,0.3846337,0.4763635,0.08016317
0.9153725,40.46359,0.8853718,0.3805718,0.4814772,0.08064867
0.9276326,40.50017,0.8946682,0.3765528,0.4865415,0.08113499
0.9398927,40.47682,0.903204,0.3725763,0.4915544,0.08162158
0.9521527,40.41258,0.9110346,0.3686418,0.4965126,0.08210761
0.9660409,40.31079,0.9191206,0.3642352,0.5020601,0.08265661
0.979929,40.16877,0.9264481,0.3598813,0.5075345,0.08320386
0.9938172,39.98688,0.9330866,0.3555795,0.5129354,0.08374903
1.007705,39.77891,0.9390986,0.3513293,0.5182611,0.08429145
1.02394,39.52002,0.9454088,0.3464255,0.5243892,0.08492123
1.040175,39.22721,0.9510271,0.3415904,0.5304143,0.08554644
1.056409,38.89561,0.9560297,0.336823,0.5363373,0.08616686
1.072644,38.54231,0.9604829,0.3321223,0.5421568,0.08678168
1.090396,38.15404,0.9647932,0.3270577,0.5483999,0.0874466
1.108148,37.73191,0.9685893,0.3220706,0.5545216,0.08810424
1.125899,37.26348,0.9719333,0.3171599,0.5605242,0.08875455
1.143651,36.77823,0.9748777,0.3123244,0.5664058,0.08939642
1.160862,36.31955,0.9773942,0.3077073,0.5719907,0.0900096
1.178072,35.83182,0.979619,0.3031588,0.5774656,0.09061458
